Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote
Czechia,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Côte d'Ivoire,9400 ,5600 , 15 000,,12 000 ,7500 , 20 000,,16 000 ,9800 , 25 000,,20 000 ,13 000 , 30 000,,24 000 ,16 000 , 35 000,,28 000 ,19 000 , 41 000,,33 000 ,23 000 , 46 000,,37 000 ,26 000 , 51 000,,41 000 ,30 000 , 54 000,,44 000 ,32 000 , 56 000,,47 000 ,35 000 , 59 000,,48 000 ,37 000 , 60 000,,49 000 ,39 000 , 59 000,,49 000 ,40 000 , 58 000,,49 000 ,41 000 , 57 000,,46 000 ,40 000 , 54 000,,41 000 ,35 000 , 47 000,,37 000 ,32 000 , 43 000,,35 000 ,30 000 , 41 000,,30 000 ,26 000 , 36 000,,27 000 ,23 000 , 32 000,,27 000 ,22 000 , 32 000,,25 000 ,21 000 , 29 000,,24 000 ,20 000 , 28 000,,23 000 ,19 000 , 27 000,,21 000 ,17 000 , 25 000,,19 000 ,15 000 , 23 000,,17 000 ,14 000 , 21 000,,15 000 ,12 000 , 19 000,,13 000 ,11 000 , 16 000,
Democratic People's Republic of Korea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Democratic Republic of the Congo,18 000 ,12 000 , 24 000,,21 000 ,15 000 , 28 000,,24 000 ,17 000 , 31 000,,27 000 ,20 000 , 35 000,,31 000 ,23 000 , 38 000,,34 000 ,26 000 , 41 000,,37 000 ,29 000 , 44 000,,39 000 ,31 000 , 46 000,,41 000 ,34 000 , 48 000,,43 000 ,36 000 , 50 000,,44 000 ,37 000 , 52 000,,46 000 ,39 000 , 53 000,,47 000 ,40 000 , 53 000,,47 000 ,41 000 , 54 000,,47 000 ,40 000 , 53 000,,45 000 ,39 000 , 51 000,,43 000 ,37 000 , 50 000,,41 000 ,34 000 , 47 000,,40 000 ,34 000 , 47 000,,40 000 ,34 000 , 47 000,,37 000 ,31 000 , 44 000,,36 000 ,29 000 , 43 000,,35 000 ,29 000 , 42 000,,32 000 ,25 000 , 39 000,,30 000 ,23 000 , 37 000,,28 000 ,21 000 , 35 000,,24 000 ,18 000 , 30 000,,21 000 ,16 000 , 27 000,,17 000 ,12 000 , 22 000,,15 000 ,11 000 , 20 000,
Denmark,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Djibouti,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<100 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , 1000,,<1000 ,<500 , 1100,,<1000 ,<500 , 1200,,<1000 ,<500 , 1200,,<1000 ,<500 , 1200,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1300,,<1000 ,<1000 , 1300,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1100,,<1000 ,<500 , 1000,,<1000 ,<500 , 1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<200 , <1000,
Dominican Republic,<1000 ,<500 , 1600,,1100 ,<500 , 1900,,1500 ,<1000 , 2300,,1900 ,<1000 , 2800,,2300 ,1300 , 3600,,2800 ,1700 , 4300,,3400 ,2200 , 5000,,4000 ,2600 , 5900,,4500 ,3100 , 6700,,5100 ,3500 , 7200,,5600 ,4000 , 7800,,6000 ,4400 , 8200,,6400 ,4700 , 8600,,6700 ,4900 , 8900,,6900 ,5100 , 9200,,6800 ,5100 , 9000,,6100 ,4600 , 8100,,5400 ,4000 , 7300,,4600 ,3400 , 6400,,4100 ,3100 , 5800,,3800 ,2800 , 5400,,3600 ,2700 , 5100,,3400 ,2500 , 4900,,3200 ,2400 , 4600,,3000 ,2200 , 4300,,2700 ,1900 , 3900,,2500 ,1700 , 3500,,2300 ,1700 , 3300,,2100 ,1500 , 3000,,1900 ,1400 , 2700,
Ecuador,<500 ,<100 , <1000,,<500 ,<100 , 1100,,<1000 ,<100 , 1300,,<1000 ,<100 , 1600,,<1000 ,<200 , 1800,,<1000 ,<500 , 2100,,<1000 ,<500 , 2100,,1100 ,<500 , 2200,,1300 ,<500 , 2400,,1400 ,<1000 , 2500,,1500 ,<1000 , 2600,,1600 ,<1000 , 2700,,1700 ,<1000 , 2900,,1800 ,1000 , 3000,,1900 ,1100 , 3000,,1800 ,1100 , 2900,,1700 ,1100 , 2900,,1700 ,1100 , 2900,,1500 ,<1000 , 2700,,1300 ,<1000 , 2500,,1100 ,<1000 , 2300,,1100 ,<1000 , 2300,,<1000 ,<1000 , 2200,,1100 ,<1000 , 2500,,1300 ,<1000 , 2900,,1200 ,<1000 , 2700,,<1000 ,<1000 , 2300,,<1000 ,<500 , 2100,,<1000 ,<500 , 1900,,<1000 ,<500 , 1700,
Egypt,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<200 , <500,,<200 ,<100 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,
El Salvador,<100 ,<100 , <100,,<100 ,<100 , <100,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1000,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1100,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1000,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1200,
Equatorial Guinea,<100 ,<100 , <200,,<100 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , 1100,,<1000 ,<500 , 1200,,<1000 ,<1000 , 1300,,<1000 ,<1000 , 1500,,1100 ,<1000 , 1600,,1200 ,<1000 , 1700,,1200 ,<1000 , 1800,,1300 ,<1000 , 1800,,1200 ,<1000 , 1700,,1300 ,<1000 , 1800,,1300 ,<1000 , 1800,,1500 ,1000 , 2000,,1600 ,1200 , 2100,,1700 ,1200 , 2200,,1500 ,1100 , 1900,,1500 ,1000 , 2000,,1700 ,1200 , 2400,,1900 ,1400 , 2700,,1700 ,1200 , 2500,,1800 ,1200 , 2800,
Eritrea,<500 ,<100 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , 1000,,<1000 ,<500 , 1100,,<1000 ,<500 , 1200,,<1000 ,<500 , 1300,,<1000 ,<500 , 1400,,<1000 ,<1000 , 1400,,1000 ,<1000 , 1500,,1100 ,<1000 , 1600,,1200 ,<1000 , 1700,,1400 ,<1000 , 1900,,1500 ,1100 , 2100,,1600 ,1200 , 2200,,1700 ,1300 , 2200,,1700 ,1300 , 2200,,1500 ,1100 , 2000,,1200 ,<1000 , 1700,,<1000 ,<1000 , 1400,,<1000 ,<500 , 1200,,<1000 ,<500 , 1100,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,
Estonia,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Eswatini,<100 ,<100 , <200,,<200 ,<200 , <500,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,1100 ,<1000 , 1500,,1700 ,1200 , 2300,,2300 ,1600 , 3100,,3100 ,2100 , 4100,,3900 ,2700 , 5000,,4700 ,3500 , 6100,,5700 ,4300 , 7200,,6600 ,5100 , 8100,,7200 ,5700 , 8700,,7700 ,6200 , 9200,,8200 ,6800 , 9500,,8100 ,7000 , 9300,,7100 ,6200 , 8000,,6100 ,5400 , 7000,,5700 ,5000 , 6400,,5100 ,4600 , 5800,,4600 ,4100 , 5100,,3900 ,3500 , 4400,,3300 ,2900 , 3800,,3100 ,2700 , 3400,,3100 ,2800 , 3500,,2900 ,2600 , 3300,,2800 ,2400 , 3200,,2800 ,2400 , 3300,,2600 ,2200 , 3100,,2300 ,1900 , 2800,
Ethiopia,15 000 ,9000 , 26 000,,20 000 ,12 000 , 34 000,,25 000 ,15 000 , 44 000,,31 000 ,19 000 , 54 000,,38 000 ,23 000 , 65 000,,44 000 ,27 000 , 76 000,,51 000 ,31 000 , 87 000,,56 000 ,34 000 , 97 000,,61 000 ,37 000 , 110 000,,65 000 ,40 000 , 110 000,,68 000 ,41 000 , 120 000,,70 000 ,42 000 , 120 000,,70 000 ,43 000 , 120 000,,70 000 ,42 000 , 120 000,,68 000 ,41 000 , 120 000,,63 000 ,38 000 , 110 000,,56 000 ,34 000 , 96 000,,45 000 ,27 000 , 77 000,,35 000 ,21 000 , 60 000,,28 000 ,17 000 , 49 000,,24 000 ,15 000 , 41 000,,21 000 ,13 000 , 36 000,,18 000 ,11 000 , 31 000,,16 000 ,9900 , 28 000,,15 000 ,9400 , 27 000,,15 000 ,8900 , 25 000,,14 000 ,8300 , 23 000,,13 000 ,7700 , 22 000,,12 000 ,7200 , 20 000,,12 000 ,7000 , 20 000,
Fiji,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,
Finland,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
France,2100 ,1600 , 2600,,2400 ,1800 , 3000,,2700 ,2100 , 3300,,3000 ,2400 , 3700,,3300 ,2700 , 4000,,3600 ,2900 , 4400,,3900 ,3200 , 4700,,1500 ,1200 , 1800,,<1000 ,<1000 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<200 , <500,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,
Gabon,<200 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , 1100,,<1000 ,<500 , 1400,,1100 ,<1000 , 1700,,1300 ,<1000 , 2000,,1500 ,<1000 , 2300,,1700 ,1100 , 2600,,1900 ,1200 , 2800,,2100 ,1300 , 3000,,2100 ,1400 , 3000,,2200 ,1400 , 3100,,1900 ,1200 , 2700,,1600 ,1100 , 2400,,1600 ,1100 , 2400,,1700 ,1100 , 2500,,1800 ,1200 , 2500,,1700 ,1200 , 2400,,1800 ,1300 , 2500,,1700 ,1200 , 2400,,1500 ,1000 , 2100,,1300 ,<1000 , 1900,,1200 ,<1000 , 1700,,1100 ,<1000 , 1600,,1100 ,<1000 , 1500,,1100 ,<1000 , 1600,,1100 ,<1000 , 1600,
Gambia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1300,,<1000 ,<1000 , 1400,,<1000 ,<1000 , 1300,,1000 ,<1000 , 1400,,1100 ,<1000 , 1500,,1100 ,<1000 , 1500,,1000 ,<1000 , 1500,,<1000 ,<1000 , 1300,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1400,,1000 ,<1000 , 1500,,1100 ,<1000 , 1600,,1100 ,<1000 , 1600,,1100 ,<1000 , 1600,,1100 ,<1000 , 1600,
Georgia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <500,
Germany,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Ghana,4400 ,2400 , 8100,,5500 ,3100 , 9400,,6700 ,3900 , 11 000,,8000 ,4900 , 13 000,,9400 ,5900 , 14 000,,11 000 ,7000 , 16 000,,12 000 ,8500 , 18 000,,14 000 ,9800 , 19 000,,15 000 ,11 000 , 21 000,,17 000 ,12 000 , 22 000,,18 000 ,13 000 , 23 000,,19 000 ,14 000 , 24 000,,20 000 ,15 000 , 24 000,,21 000 ,16 000 , 25 000,,21 000 ,16 000 , 25 000,,21 000 ,16 000 , 24 000,,21 000 ,16 000 , 24 000,,20 000 ,16 000 , 23 000,,18 000 ,15 000 , 21 000,,17 000 ,13 000 , 20 000,,16 000 ,12 000 , 19 000,,14 000 ,11 000 , 18 000,,13 000 ,9600 , 16 000,,12 000 ,8900 , 16 000,,13 000 ,9300 , 17 000,,13 000 ,9400 , 18 000,,14 000 ,9500 , 19 000,,14 000 ,9600 , 19 000,,14 000 ,9400 , 20 000,,14 000 ,8800 , 20 000,
Greece,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Guatemala,<200 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , 1100,,<1000 ,<500 , 1300,,<1000 ,<1000 , 1500,,1100 ,<1000 , 1700,,1200 ,<1000 , 1800,,1400 ,<1000 , 2000,,1500 ,1000 , 2100,,1600 ,1100 , 2200,,1700 ,1200 , 2200,,1200 ,<1000 , 1600,,1200 ,<1000 , 1600,,1200 ,<1000 , 1700,,1100 ,<1000 , 1400,,<1000 ,<1000 , 1200,,<1000 ,<500 , 1000,,<1000 ,<500 , 1000,,<1000 ,<500 , 1000,,<1000 ,<500 , 1100,,<1000 ,<500 , 1200,,<1000 ,<1000 , 1300,,1000 ,<1000 , 1700,,1300 ,<1000 , 2000,,1400 ,<1000 , 2100,,1400 ,<1000 , 2000,,1200 ,<1000 , 1700,
